layer,scalar_abs_mean,scalar_abs_std,scalar_abs_median,scalar_abs_q99_0,scalar_abs_q99_5,scalar_abs_q99_9
0,0.02467743307352066,0.02333023026585579,0.01904296875,0.10791015625,0.134765625,0.2158203125
1,0.03254444897174835,0.03063746728003025,0.025390625,0.1416015625,0.177734375,0.28515625
2,0.04532007500529289,0.04328810051083565,0.03515625,0.1943359375,0.2431640625,0.392578125
3,0.057730574160814285,0.05514970421791077,0.045166015625,0.24609375,0.306640625,0.4765625
4,0.06600797921419144,0.06626436859369278,0.05078125,0.3046875,0.384765625,0.5859375
5,0.07414116710424423,0.0735778659582138,0.0576171875,0.341796875,0.42578125,0.6484375
6,0.08434020727872849,0.08141539245843887,0.0654296875,0.37890625,0.470703125,0.734375
7,0.09481891244649887,0.09296324104070663,0.07373046875,0.423828125,0.53125,0.83984375
8,0.09870900958776474,0.09939641505479813,0.076171875,0.447265625,0.57421875,0.921875
9,0.10058809071779251,0.10276003926992416,0.0771484375,0.46875,0.59765625,0.9609375
10,0.10326237231492996,0.10369780659675598,0.0791015625,0.4921875,0.625,0.98828125
11,0.11254119127988815,0.12297702580690384,0.083984375,0.5703125,0.73828125,1.1875
12,0.12059201300144196,0.1336091309785843,0.08984375,0.625,0.81103515625,1.3125
13,0.12990714609622955,0.1471005529165268,0.09619140625,0.69140625,0.88671875,1.490234375
14,0.14658309519290924,0.16715356707572937,0.109375,0.78125,0.98828125,1.59375
15,0.16799744963645935,0.1886071264743805,0.125,0.88671875,1.1484375,1.904296875
16,0.19454312324523926,0.2054954469203949,0.1484375,0.9609375,1.234375,2.109375
17,0.21304787695407867,0.2288689762353897,0.162109375,1.0390625,1.359375,2.296875
18,0.23066657781600952,0.24638423323631287,0.1767578125,1.078125,1.40625,2.40625
19,0.281173437833786,0.29417020082473755,0.216796875,1.25,1.6328125,2.765625
20,0.30531835556030273,0.3242667317390442,0.236328125,1.34375,1.7578125,2.85546875
21,0.33567526936531067,0.35305947065353394,0.26171875,1.4375,1.859375,2.984375
22,0.3650621771812439,0.3850471079349518,0.28515625,1.5625,1.984375,3.078125
23,0.4130132496356964,0.4322749972343445,0.32421875,1.7265625,2.171875,3.3125
24,0.44751134514808655,0.4557551443576813,0.35546875,1.796875,2.21875,3.4375
25,0.48011448979377747,0.4913577735424042,0.380859375,1.8984375,2.328125,3.734375
26,0.5377445816993713,0.5288727879524231,0.42578125,2.078125,2.59375,5.03125
27,1.0350219011306763,1.2485253810882568,0.78515625,4.4375,7.83203125,17.5
