layer,condition,n,mean_delta_loss,sem_delta_loss,mean_delta_loss_per_token,sem_delta_loss_per_token,mean_n_quantized_tokens
14,all_non_special,450,0.1334514829847548,0.013578423562120065,0.007010188932659207,0.0009023311482804471,21.733333333333334
14,matched_josa_only,370,0.005764120333903545,0.005392005062880493,0.0020014336836895476,0.0018446108416830416,4.108108108108108
14,matched_nonjosa_only,370,0.05186335396122288,0.005706584291953891,0.015607150792052745,0.0023116555489443038,4.108108108108108
14,matched_random_non_special,370,0.026732611656188964,0.004881616255958068,0.007517912633579619,0.0020070978660263654,4.108108108108108
21,all_non_special,450,0.4970962471432156,0.017068659165936417,0.028803980212556646,0.001277302550767167,21.733333333333334
21,matched_josa_only,370,0.10828291725467991,0.010352078403882681,0.03886450560933681,0.0035680025877804123,4.108108108108108
21,matched_nonjosa_only,370,0.11929698892541833,0.00967132061739405,0.03147038028941856,0.0036118243208610374,4.108108108108108
21,matched_random_non_special,370,0.1015059232711792,0.007310599034527264,0.029315262368082337,0.002494212519633627,4.108108108108108
24,all_non_special,450,0.7607466300328573,0.018124851886683255,0.044718503486463855,0.0015608863278947192,21.733333333333334
24,matched_josa_only,370,0.2492091720168655,0.013433242581846815,0.08217273892148377,0.005462957578904594,4.108108108108108
24,matched_nonjosa_only,370,0.14998697332433752,0.008940387419277357,0.04309561579639643,0.0033428293011777727,4.108108108108108
24,matched_random_non_special,370,0.16193792819976807,0.010624140733739152,0.04579464117890517,0.0033103647424712447,4.108108108108108
27,all_non_special,450,0.2845316966374715,0.010235895473844807,0.01632081111598608,0.0007539241736151964,21.733333333333334
27,matched_josa_only,370,0.10139325824943748,0.006933688317092034,0.03440976970214181,0.0028026934629522557,4.108108108108108
27,matched_nonjosa_only,370,0.0761190601297327,0.005447458578385465,0.02737818777510047,0.0023995109894593557,4.108108108108108
27,matched_random_non_special,370,0.05959141383299957,0.004502594730550615,0.01781462938322217,0.00157695422111872,4.108108108108108
