layer,n_sentence_pairs,mean_diff_josa_minus_nonjosa,median_diff_josa_minus_nonjosa,cohen_dz,p_value,p_value_fdr_bh,significant_fdr_0_05,metric,use_strict_josa,alternative
0,148,-0.07965871352790346,-0.07763671875,-2.597775660042485,1.0,1.0,False,max_abs,False,greater
1,148,-0.04567188926199875,-0.05328805106026785,-0.5377596501157197,0.9999999894707332,1.0,False,max_abs,False,greater
2,148,-0.22816135793966302,-0.21595982142857145,-1.3954500244262045,1.0,1.0,False,max_abs,False,greater
3,148,-0.1870097254857523,-0.16702473958333336,-0.6573784832738613,0.9999999999498208,1.0,False,max_abs,False,greater
4,148,-0.2924275856759439,-0.2649274553571429,-0.9607328563087413,1.0,1.0,False,max_abs,False,greater
5,148,-0.3491821866338006,-0.34781901041666663,-1.4099713986536484,1.0,1.0,False,max_abs,False,greater
6,148,-0.2687709110561873,-0.266508556547619,-1.20598881029813,1.0,1.0,False,max_abs,False,greater
7,148,-0.08600265380087344,-0.08743914175724643,-0.2333215124208404,0.9948572736938667,1.0,False,max_abs,False,greater
8,148,-0.13628292374492404,-0.10546875,-0.32484005726700316,0.9995534791329574,1.0,False,max_abs,False,greater
9,148,-0.13641780147376387,-0.12867697010869572,-0.4278040119111986,0.9999959793205553,1.0,False,max_abs,False,greater
10,148,-0.013747452589728147,-0.022196228250915828,-0.05694731703596318,0.8758129357384491,1.0,False,max_abs,False,greater
11,148,-0.12159145700532813,-0.06886322463768124,-0.25835167192014435,0.9942138428228617,1.0,False,max_abs,False,greater
12,148,-0.18627508547868557,-0.2027343749999999,-0.4807949479275467,0.9999999391930541,1.0,False,max_abs,False,greater
13,148,-0.18977868610102913,-0.1986607142857144,-0.3806963391405632,0.9999819045548471,1.0,False,max_abs,False,greater
14,148,0.10197505755356073,0.1640625,0.16009280642387805,0.01246226380842831,0.02492452761685662,True,max_abs,False,greater
15,148,0.6632988069916744,0.6596890318627449,0.7919908775678414,1.2244702846169687e-14,3.428516796927512e-14,True,max_abs,False,greater
16,148,0.3636193461744222,0.3271484375,0.603117599496313,4.1502708393053917e-10,8.939044884657767e-10,True,max_abs,False,greater
17,148,0.5056906851253358,0.5691964285714284,0.7610382759667738,4.084170424269474e-14,1.0396070170867752e-13,True,max_abs,False,greater
18,148,0.7068613981281341,0.753213035593792,0.907544512881736,5.538785973061805e-17,1.7231778582858948e-16,True,max_abs,False,greater
19,148,1.0011216685066038,1.0299479166666665,0.734986213911393,5.0409691935794303e-14,1.1762261451685336e-13,True,max_abs,False,greater
20,148,1.9717216381723388,2.1013569078947367,1.0786277439466905,3.9753012932937397e-20,1.8551406035370784e-19,True,max_abs,False,greater
21,148,2.507280457395229,2.6165865384615383,1.257739892387828,1.4574836384517413e-22,8.161908375329751e-22,True,max_abs,False,greater
22,148,3.50030674937849,3.5062499999999996,1.3896066688067368,7.960507100137995e-24,5.572354970096597e-23,True,max_abs,False,greater
23,148,3.872136035874938,3.9277001096491224,1.400102342045664,2.717129116381543e-24,2.53598717528944e-23,True,max_abs,False,greater
24,148,4.357990482964174,4.479166666666666,1.506564748614619,9.234021016746916e-25,2.53598717528944e-23,True,max_abs,False,greater
25,148,4.31409560546094,4.5493421052631575,1.4522338967501711,2.6129373335288692e-24,2.53598717528944e-23,True,max_abs,False,greater
26,148,2.7018717617760233,3.0302083333333334,0.94493563290026,3.462532341585457e-18,1.21188631955491e-17,True,max_abs,False,greater
27,148,2.4954107429728207,2.6875,1.0650610392054536,1.2316591721181468e-19,4.926636688472587e-19,True,max_abs,False,greater
