layer,n_sentence_pairs,mean_diff_josa_minus_nonjosa,median_diff_josa_minus_nonjosa,cohen_dz,p_value,p_value_fdr_bh,significant_fdr_0_05,metric,use_strict_josa,alternative
0,148,0.12595598796279822,0.11208233095350728,0.6862262609859284,2.3501235385576067e-12,4.700247077115213e-12,True,norm,False,greater
1,148,0.23223975185258644,0.18836653546283122,1.0444781915149859,1.1658472085661236e-21,3.6270802044279395e-21,True,norm,False,greater
2,148,0.15451735556811555,0.0802007297674816,0.5526260243661208,3.703339052612075e-08,5.457552288059899e-08,True,norm,False,greater
3,148,0.09224789630150483,0.061407212416330736,0.42600562513788665,9.493526666646606e-06,1.155733681156978e-05,True,norm,False,greater
4,148,0.2543733654650234,0.2625681267844304,0.9673698282686254,1.0126282722013465e-18,2.8353591621637704e-18,True,norm,False,greater
5,148,0.2630926790427564,0.20433153013388283,0.6827133664786612,2.8381349817463754e-12,5.2978519659265674e-12,True,norm,False,greater
6,148,0.20116123519866413,0.17638594905535365,0.5751231978199239,6.944820963624106e-10,1.1438528645969116e-09,True,norm,False,greater
7,148,0.08294225928283362,0.04092939966603293,0.24671410987905767,0.0046668970287101885,0.004839745066810565,True,norm,False,greater
8,148,0.11118023531742953,0.06977289137632958,0.32463048085646085,0.00017841207700673763,0.00020814742317452724,True,norm,False,greater
9,148,0.17491100373099985,0.15133641416376298,0.45642888566173445,1.5852632654952373e-07,2.1136843539936498e-07,True,norm,False,greater
10,148,0.22867085352097838,0.19480713094983804,0.5809720097077032,3.5861198915327683e-09,5.578408720162084e-09,True,norm,False,greater
11,148,0.18227715544614123,0.2141346420560568,0.4005403799053024,1.0801448711624068e-06,1.3747298360248813e-06,True,norm,False,greater
12,148,0.30223542709750933,0.2772596120834354,0.8862192901498288,1.253029854433748e-16,3.1895305385586314e-16,True,norm,False,greater
13,148,0.22340487654526597,0.245019483566284,0.6640938598202888,8.449603224622337e-12,1.478680564308909e-11,True,norm,False,greater
14,148,0.3833438259216125,0.46350028174264146,0.7302046855483529,3.8321019469795847e-13,8.253758039648337e-13,True,norm,False,greater
15,148,0.3821874901804938,0.4275208234786989,0.7426392350023506,1.5550327025832842e-13,3.6284096393609964e-13,True,norm,False,greater
16,148,0.113206065769086,0.09678534666697214,0.29708548222377373,0.0009454241166079069,0.001018149048654669,True,norm,False,greater
17,148,0.19326118867902034,0.17238312675839396,0.5104465177806992,1.1439923121942068e-07,1.6015892370718896e-07,True,norm,False,greater
18,148,0.1382476503612109,0.10466086864471436,0.2913367190270197,0.0007181352746391725,0.0008043115075958731,True,norm,False,greater
19,148,1.0186418415708438,0.9844193935394294,1.8057419044326455,5.633394005605254e-26,2.2533576022421017e-25,True,norm,False,greater
20,148,1.6890034866842523,1.6921536581856866,2.4487430311751908,2.4502101457281004e-26,1.1434314013397802e-25,True,norm,False,greater
21,148,2.917092289109399,2.9660363515218098,2.5619803165294806,2.4502101457281004e-26,1.1434314013397802e-25,True,norm,False,greater
22,148,3.982111227504083,4.105630040168762,2.9472744285705206,2.4502101457281004e-26,1.1434314013397802e-25,True,norm,False,greater
23,148,5.092726474902675,5.2445135289972455,3.012026860238416,2.4502101457281004e-26,1.1434314013397802e-25,True,norm,False,greater
24,148,5.445835943304586,5.547483557746524,2.7407704570489915,2.4502101457281004e-26,1.1434314013397802e-25,True,norm,False,greater
25,148,5.192911247518632,5.313004751329295,2.4933729228981067,2.4502101457281004e-26,1.1434314013397802e-25,True,norm,False,greater
26,148,4.945980737853911,5.28244079862322,1.738715730039921,4.352837780536403e-25,1.523493223187741e-24,True,norm,False,greater
27,148,-1.0348351183190028,-1.1612191200256348,-1.8760534406620986,1.0,1.0,False,norm,False,greater
