layer,n_sentence_pairs,mean_diff_josa_minus_nonjosa,median_diff_josa_minus_nonjosa,cohen_dz,p_value,p_value_fdr_bh,significant_fdr_0_05,metric,use_strict_josa,alternative
0,148,-0.0008778799015886195,-0.0009431538392642609,-0.4540895302184777,0.9999998059801654,1.0,False,outlier_ratio,False,greater
1,148,0.0007806518050900849,0.0008758060581472125,0.32090083200679526,5.469807036849742e-05,0.00010939614073699485,True,outlier_ratio,False,greater
2,148,0.0001534041460801315,-9.370120478136013e-11,0.08924119858654303,0.3079958841273651,0.538992797222889,False,outlier_ratio,False,greater
3,148,-0.0007942895256650133,-0.0009822237371143114,-0.6031956046297064,0.9999999997872252,1.0,False,outlier_ratio,False,greater
4,148,-0.0007601992316336071,-0.0009155273990472778,-0.654053084467671,0.9999999999846824,1.0,False,outlier_ratio,False,greater
5,148,-0.0006008320928272432,-0.0006874690422721741,-0.5259939466518119,0.9999999959130115,1.0,False,outlier_ratio,False,greater
6,148,-0.0007364865803506949,-0.0007798346198177426,-0.7952690790415207,0.9999999999999952,1.0,False,outlier_ratio,False,greater
7,148,-0.0005699905805672266,-0.0005208334187045693,-0.6784561426397824,0.9999999999996738,1.0,False,outlier_ratio,False,greater
8,148,-0.0005557275587247688,-0.000528971228050068,-0.8282793377179096,0.9999999999999999,1.0,False,outlier_ratio,False,greater
9,148,-0.0006655614373658677,-0.0006781684001907705,-0.9118774051393409,1.0,1.0,False,outlier_ratio,False,greater
10,148,-0.0006448784573096949,-0.0007463726946817977,-0.7759081577207995,0.9999999999999688,1.0,False,outlier_ratio,False,greater
11,148,-0.0004881374620974768,-0.0004161047514311838,-0.7891498881049169,0.9999999999999998,1.0,False,outlier_ratio,False,greater
12,148,-0.0003579080635866982,-0.0005651404563751486,-0.42238390967124023,0.9999982915734518,1.0,False,outlier_ratio,False,greater
13,148,-0.0003809605954290794,-0.0003469366706291537,-0.6327847802219333,0.999999999971722,1.0,False,outlier_ratio,False,greater
14,148,5.727750097602031e-05,-1.4153076335787773e-05,0.08233410127058763,0.233878686922676,0.4365735489223285,False,outlier_ratio,False,greater
15,148,0.0005031369052167349,0.00041271386934178204,0.5430334396666422,8.158452591123414e-09,2.284366725514556e-08,True,outlier_ratio,False,greater
16,148,0.0003116272194655477,0.00025227874939446346,0.3670816040808544,2.3838679544176085e-05,5.134484824899464e-05,True,outlier_ratio,False,greater
17,148,0.00036804942565849653,0.0003929501557390076,0.39693383641407953,4.719766354068961e-06,1.1012788159494242e-05,True,outlier_ratio,False,greater
18,148,0.0005473831246246505,0.00033714658846812576,0.5224294400342911,2.4393282622994803e-08,6.209199213125949e-08,True,outlier_ratio,False,greater
19,148,0.0010034588298557883,0.0009065328236350693,1.0482527033717273,2.986502203255313e-21,9.291340187905418e-21,True,outlier_ratio,False,greater
20,148,0.0010912710083247124,0.0010596560455221485,1.2400470314662184,9.105193084058315e-23,3.18681757942041e-22,True,outlier_ratio,False,greater
21,148,0.001627890495540468,0.0017278887959116178,1.7017285288092183,9.910451384865125e-26,3.96418055394605e-25,True,outlier_ratio,False,greater
22,148,0.002147414362996713,0.0022607994252578927,2.4452224351642196,2.4498949128121055e-26,1.5504113544930272e-25,True,outlier_ratio,False,greater
23,148,0.0029198376763829507,0.003064546125408794,2.8383587246361714,2.4498949128121055e-26,1.5504113544930272e-25,True,outlier_ratio,False,greater
24,148,0.0029447824247135317,0.0029893667010279994,3.1171037449306485,2.4500210012839748e-26,1.5504113544930272e-25,True,outlier_ratio,False,greater
25,148,0.003045191530590724,0.0030273439595475795,2.948577057292183,2.7685917044518343e-26,1.5504113544930272e-25,True,outlier_ratio,False,greater
26,148,0.0029198784058114186,0.0029459638404659926,2.3950316495145496,2.4500840478671623e-26,1.5504113544930272e-25,True,outlier_ratio,False,greater
27,148,0.0012798209634914464,0.0012207032996229827,1.7552069227031872,5.386473927664913e-26,2.513687832910293e-25,True,outlier_ratio,False,greater
