layer,n_sentence_pairs,mean_diff_josa_minus_nonjosa,median_diff_josa_minus_nonjosa,cohen_dz,p_value,p_value_fdr_bh,significant_fdr_0_05,metric,use_strict_josa,alternative
0,148,-3.414398868804008,-3.3277307237897604,-2.597775566787168,1.0,1.0,False,zmax,False,greater
1,148,-1.490720298664104,-1.7393100176538736,-0.5377596768936391,0.9999999894706552,1.0,False,zmax,False,greater
2,148,-5.270763519537982,-4.988895484379359,-1.3954500213588965,1.0,1.0,False,zmax,False,greater
3,148,-3.3909469673234605,-3.028569690386454,-0.6573784714653556,0.9999999999498198,1.0,False,zmax,False,greater
4,148,-4.413044045258899,-3.9980378389358524,-0.9607328416911364,1.0,1.0,False,zmax,False,greater
5,148,-4.745750299248711,-4.727223634719849,-1.4099714139643011,1.0,1.0,False,zmax,False,greater
6,148,-3.3012297832056485,-3.273442066851117,-1.2059888295585561,1.0,1.0,False,zmax,False,greater
7,148,-0.9251252794505316,-0.9405773905740267,-0.2333214710036612,0.994871421345904,1.0,False,zmax,False,greater
8,148,-1.3711051062015656,-1.0610926151275635,-0.324840096780173,0.9995550036280387,1.0,False,zmax,False,greater
9,148,-1.3275373541233937,-1.2522079488505478,-0.4278039847772009,0.9999959793205553,1.0,False,zmax,False,greater
10,148,-0.13257226731413274,-0.21404724592690894,-0.05694731913877111,0.8758125565240019,1.0,False,zmax,False,greater
11,148,-0.9887330950537885,-0.5599678398906311,-0.2583516669868792,0.9942138237809995,1.0,False,zmax,False,greater
12,148,-1.3941795943703434,-1.5173698107401528,-0.4807950240321917,0.9999999398239839,1.0,False,zmax,False,greater
13,148,-1.2901289820061792,-1.3505100522722522,-0.3806963497497303,0.9999816372561968,1.0,False,zmax,False,greater
14,148,0.6100680573674313,0.9815078462873181,0.16009279842789925,0.012555283947680823,0.025110567895361646,True,zmax,False,greater
15,148,3.516828109195444,3.497688873608908,0.7919909159507601,1.2245200087103968e-14,3.428656024389111e-14,True,zmax,False,greater
16,148,1.769476367391859,1.5919985175132751,0.6031175177223635,4.150381028565418e-10,8.93928221537167e-10,True,zmax,False,greater
17,148,2.2095205792580312,2.4869968096415196,0.7610382891634903,4.084435763100244e-14,1.0396745578800622e-13,True,zmax,False,greater
18,148,2.8689390533983583,3.057066549656362,0.9075445273243551,5.538874441820762e-17,1.7232053818997927e-16,True,zmax,False,greater
19,148,3.403205595804289,3.50119686126709,0.7349862555096099,5.0780157587289945e-14,1.184870343703432e-13,True,zmax,False,greater
20,148,6.080554146622883,6.480334208722699,1.0786277311464536,3.975683881641538e-20,1.855319144766051e-19,True,zmax,False,greater
21,148,7.101581172033437,7.4111777635721054,1.2577399167419947,1.4575153956954519e-22,8.16208621589453e-22,True,zmax,False,greater
22,148,9.090593218529598,9.106027762095133,1.389606739147851,6.1494995948250755e-24,4.304649716377553e-23,True,zmax,False,greater
23,148,8.957576324235816,9.086114843686422,1.4001023045331686,2.717193228463949e-24,2.536047013233019e-23,True,zmax,False,greater
24,148,9.562131080216075,9.828010910087162,1.5065647540052007,9.234243421094694e-25,2.536047013233019e-23,True,zmax,False,greater
25,148,8.779948257949945,9.25871619425322,1.4522338092464766,2.6131224378552492e-24,2.536047013233019e-23,True,zmax,False,greater
26,148,5.1087362698404295,5.729559357961019,0.9449356373816808,3.462651632778582e-18,1.2119280714725037e-17,True,zmax,False,greater
27,148,1.998686142901914,2.1525390942891445,1.0650608899200942,1.286775317178255e-19,5.14710126871302e-19,True,zmax,False,greater
