layer,n_sentence_pairs,mean_diff_josa_minus_nonjosa,median_diff_josa_minus_nonjosa,cohen_dz,p_value,p_value_fdr_bh,significant_fdr_0_05,metric,use_strict_josa,alternative
0,148,-0.0036809105883703268,-0.0026106364883934016,-0.18904191108644525,0.9489531858074337,1.0,False,received_attn_future_mean,False,greater
1,148,-0.002891352741368288,-0.0035023335367441177,-0.7789734994791354,0.9999999999999667,1.0,False,received_attn_future_mean,False,greater
2,148,0.0016107058031285106,0.0011962258256971838,0.5967486674499481,2.9549647352865144e-12,1.3789835431337067e-11,True,received_attn_future_mean,False,greater
3,148,-0.0018053138276600087,-0.002780491641412178,-0.23022425087965256,0.998991504568442,1.0,False,received_attn_future_mean,False,greater
4,148,-0.0020760758947549816,-0.0019817770835721792,-0.24108702448692482,0.9993412644090075,1.0,False,received_attn_future_mean,False,greater
5,148,0.0034403268183818185,0.003492890435847498,0.34812422545142185,0.00012796215368376352,0.0004478675378931723,True,received_attn_future_mean,False,greater
6,148,0.01606519897963993,0.010254032080993056,0.7508945206303564,1.253029854433748e-16,1.1694945308048316e-15,True,received_attn_future_mean,False,greater
7,148,0.016641874256187916,0.014583507863183815,0.8459933297116441,5.340268827760496e-18,7.476376358864694e-17,True,received_attn_future_mean,False,greater
8,148,0.006400529591817686,0.005199836679783305,0.450435153684446,7.11202776824374e-08,2.844811107297496e-07,True,received_attn_future_mean,False,greater
9,148,0.012465285133830644,0.012213789237042267,0.9340067787647074,1.861311388549945e-18,5.2116718879398465e-17,True,received_attn_future_mean,False,greater
10,148,0.012693185399704371,0.012011723965406416,0.7832677129862027,4.63679896077936e-16,3.2457592725455522e-15,True,received_attn_future_mean,False,greater
11,148,0.011977360501554275,0.011300885137946654,0.710293813683327,9.572912595935026e-14,5.360831053723614e-13,True,received_attn_future_mean,False,greater
12,148,-0.005427967360494258,-0.005189459750374012,-0.4725846918652698,0.9999999879809663,1.0,False,received_attn_future_mean,False,greater
13,148,-0.003787064561371579,-0.0033948206608848917,-0.37300167201150436,0.9999978679761017,1.0,False,received_attn_future_mean,False,greater
14,148,-0.00575412587003365,-0.005371459227587496,-0.5612386548818137,0.999999999245282,1.0,False,received_attn_future_mean,False,greater
15,148,-0.0038416866488157355,-0.004402192185322441,-0.42128350404786913,0.9999990173654093,1.0,False,received_attn_future_mean,False,greater
16,148,0.00041127545603036154,0.0012388860748615118,0.06737078143475587,0.09749438845828512,0.2729842876831984,False,received_attn_future_mean,False,greater
17,148,-0.0010496637346168356,-0.0005099896341562264,-0.25735885328223057,0.9956607450938556,1.0,False,received_attn_future_mean,False,greater
18,148,0.00016395876725553443,0.00026614365839015917,0.04398577169722823,0.26944877269925327,0.6858696032344629,False,received_attn_future_mean,False,greater
19,148,0.0009108495204490708,0.0011880919743802332,0.1776806402839395,0.004692991781776003,0.014600418876636453,True,received_attn_future_mean,False,greater
20,148,-0.004376273708457611,-0.005504993768408895,-0.8710257198877897,0.9999999999999997,1.0,False,received_attn_future_mean,False,greater
21,148,-0.005188062137597069,-0.004718726640567182,-1.113072131270642,1.0,1.0,False,received_attn_future_mean,False,greater
22,148,-0.005845806636669042,-0.006283295030395189,-1.386181071221402,1.0,1.0,False,received_attn_future_mean,False,greater
23,148,-0.007576647279975407,-0.008538368291088514,-1.3425487254381046,1.0,1.0,False,received_attn_future_mean,False,greater
24,148,-0.004249195879531589,-0.0041741002739096675,-1.1294601287978145,1.0,1.0,False,received_attn_future_mean,False,greater
25,148,-0.005106535264082187,-0.005554528270537654,-1.4352878370458282,1.0,1.0,False,received_attn_future_mean,False,greater
26,148,-0.006266634893269114,-0.00616662111133337,-0.9292881656022145,1.0,1.0,False,received_attn_future_mean,False,greater
27,148,-0.007800655163487152,-0.009008183299253384,-1.3800031034874143,1.0,1.0,False,received_attn_future_mean,False,greater
