layer,n_sentence_pairs,mean_diff_josa_minus_nonjosa,median_diff_josa_minus_nonjosa,cohen_dz,p_value,p_value_fdr_bh,significant_fdr_0_05,metric,use_strict_josa,alternative
0,148,-0.013088755688796987,-0.011569429314496865,-0.1560079075028731,0.9422020078110332,1.0,False,attn_sink_z_future,False,greater
1,148,-0.011079851248055122,-0.012985980928799823,-0.7330167637863922,0.9999999999998632,1.0,False,attn_sink_z_future,False,greater
2,148,0.005763044570316619,0.004688942374857952,0.6379383680551977,7.261286540960484e-13,3.3886003857815595e-12,True,attn_sink_z_future,False,greater
3,148,-0.006499263556456627,-0.011847244607441715,-0.2310824592842081,0.9990545758833921,1.0,False,attn_sink_z_future,False,greater
4,148,-0.006513376822580938,-0.008497491309332583,-0.1980588092934741,0.9977632884457928,1.0,False,attn_sink_z_future,False,greater
5,148,0.015715432076167685,0.015698832236737098,0.4139437980388665,6.2043507362053516e-06,2.1715227576718732e-05,True,attn_sink_z_future,False,greater
6,148,0.06964716702600474,0.05521486286259898,0.8258553727534265,9.851215381949444e-18,9.194467689819481e-17,True,attn_sink_z_future,False,greater
7,148,0.07882574839457095,0.06918329724180985,0.9304316735249708,9.955827942336616e-19,1.3938159119271262e-17,True,attn_sink_z_future,False,greater
8,148,0.031528473657951105,0.026802843671750745,0.502892277733505,7.136938733787383e-09,2.8547754935149533e-08,True,attn_sink_z_future,False,greater
9,148,0.059460058715271116,0.054396996498017866,0.9910821570028772,3.8918796673470947e-19,1.0897263068571866e-17,True,attn_sink_z_future,False,greater
10,148,0.059885128802183024,0.05647368384978335,0.8591837862531061,5.720166073641536e-17,4.0041162515490747e-16,True,attn_sink_z_future,False,greater
11,148,0.06843841425376708,0.0563753611428319,0.7757543488224191,9.094246943301327e-15,5.0927782882487435e-14,True,attn_sink_z_future,False,greater
12,148,-0.019017175319054776,-0.021891882194627676,-0.3870192156562538,0.9999997018607447,1.0,False,attn_sink_z_future,False,greater
13,148,-0.012422136462531602,-0.01540631985200408,-0.26092134631737435,0.9999465746481332,1.0,False,attn_sink_z_future,False,greater
14,148,-0.021933154821964746,-0.023202579478554308,-0.45825799765444225,0.9999999485914188,1.0,False,attn_sink_z_future,False,greater
15,148,-0.011798744338822966,-0.017426874226563388,-0.2796090168121524,0.9999444356001207,1.0,False,attn_sink_z_future,False,greater
16,148,0.004336590658286924,0.004962097111964353,0.17483958770079722,0.028659453498296586,0.08024646979523045,False,attn_sink_z_future,False,greater
17,148,-0.0027429700267662454,-0.001760587180221096,-0.1870391602150441,0.9828778677209195,1.0,False,attn_sink_z_future,False,greater
18,148,0.002188045241120727,0.0009052624013730359,0.1524241750198126,0.08705232503211796,0.22158773644539115,False,attn_sink_z_future,False,greater
19,148,0.005992705646041835,0.004773078202256642,0.273921220821686,0.0007773094398744222,0.002418296035164869,True,attn_sink_z_future,False,greater
20,148,-0.014059641353682734,-0.01873211386078713,-0.8064582499885662,0.9999999999999958,1.0,False,attn_sink_z_future,False,greater
21,148,-0.017587954031807778,-0.017842932202969425,-1.2184718766981968,1.0,1.0,False,attn_sink_z_future,False,greater
22,148,-0.019331014061186643,-0.0215747297210621,-1.4488115050309571,1.0,1.0,False,attn_sink_z_future,False,greater
23,148,-0.026484861658012178,-0.031646461062488224,-1.3734885187946748,1.0,1.0,False,attn_sink_z_future,False,greater
24,148,-0.014149534070246344,-0.01555730934818042,-1.1004323706368182,1.0,1.0,False,attn_sink_z_future,False,greater
25,148,-0.017384444854298402,-0.019655537599395145,-1.4447283041198882,1.0,1.0,False,attn_sink_z_future,False,greater
26,148,-0.021976835952976326,-0.02439292218790813,-0.8066196961883276,0.9999999999999999,1.0,False,attn_sink_z_future,False,greater
27,148,-0.031099445785630987,-0.03602575875680558,-1.3694149169426741,1.0,1.0,False,attn_sink_z_future,False,greater
